timestamp,ball,lon,lat,ball_speed_mps,ball_direction_deg,timestamp_utc8,ship_id,ship_lon_interpolated,ship_lat_interpolated,ship_s_interpolated,distance_to_test_point_km,ship_orig_shipTypeCode,ship_orig_navStatus,ship_orig_latestPortStatus,ship_orig_lengthBow,ship_orig_lengthStern,ship_orig_breadthPort,ship_orig_breadthStarboard,ship_orig_y,ship_orig_c,ship_orig_e,ship_orig_f,ship_orig_p,ship_orig_b,ship_orig_d,ship_orig_h,ship_orig_j,ship_orig_v,ship_orig_r,ship_orig_l,ship_orig_m,ship_orig_timestamp_utc8,ship_orig_lon_ship,ship_orig_lat_ship,ship_orig_t_unix,ship_orig_i,corrected_final_total_dBA
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,2329396,114.2940658,30.56366935,76.22580645,0.259147609,E00,SAIL_NORMAL,1,23,23,5,5,60,2045,JIANGCHENG1HAO,CHN,WUHAN,10,22,,,,6/3/2025 7:20,46,413841157,2025-06-04 12:38:03+08:00,114.29388,30.56329,1749011883,2329396,86.74171609
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,2596442,114.300624,30.58351262,31,2.180282105,B01,SAIL_SLOW,2,73,10,7,7,70,2130,WANHUAYUN2019,CHN,LIJIAJIMAODI,14,38,213,,,1/5/2026 23:30,83,413842737,2025-06-04 12:37:57+08:00,114.3005483,30.58346167,1749011877,2596442,86.74171609
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,3117079,114.280391,30.5463966,67,2.376053086,B01,SAIL_NORMAL,1,93,16,10,9,70,262,DAMEI09,CHN,JIANGYIN,19,62,,,,6/8/2025 18:40,109,413847226,2025-06-04 12:37:40+08:00,114.2802367,30.54611167,1749011860,3117079,86.74171609
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,3203193,114.2890894,30.55412911,22.04524887,1.269548727,E00,SAIL_SLOW,3,23,23,5,5,60,2648,JIANGCHENG3HAO,CHN,QINGCHUANMATOU,10,20,,,,1/2/2016 9:50,46,413841902,2025-06-04 12:41:21+08:00,114.28876,30.55401667,1749012081,3203193,86.74171609
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,3227928,114.2975406,30.57197222,63.66666667,0.906808077,B01,SAIL_NORMAL,1,110,20,6,10,70,305,QINHE1302,CHN,NANTONG,16,51,,,,6/10/2025 17:55,130,413849328,2025-06-04 12:37:52+08:00,114.297565,30.57199167,1749011872,3227928,86.74171609
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,4617896,114.3052133,30.58328333,57,2.358952896,B01,SAIL_NORMAL,1,13,60,7,7,70,288,WAN YING HE JI 19,CHN,BANGBU,14,40,,,,1/6/2015 19:00,73,413864338,2025-06-04 12:37:51+08:00,114.3052133,30.58328333,1749011871,4617896,86.74171609
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,62277,114.3073963,30.58619429,58,2.666775987,B01,SAIL_NORMAL,1,75,11,7,8,70,301,WAN HAI SHUN 9998,CHN,WUHU,15,43,,,,1/10/1931 10:04,86,413830273,2025-06-04 12:38:54+08:00,114.3075,30.58635,1749011934,62277,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,127786,114.2976341,30.57857464,31,1.490902065,B01,SAIL_SLOW,1,100,29,10,11,70,2059,YU XIN HUO 19333,CHN,YUE YANG,21,63,205,,,6/6/2025 8:00,129,413971693,2025-06-04 12:38:54+08:00,114.2975833,30.57848333,1749011934,127786,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,175219,114.2820513,30.55415967,27,1.6415593,B01,SAIL_SLOW,2,63,20,7,7,70,2101,LIANSHENG298,CHN,"A1_, !B99",14,17,0,,,11/8/2025 4:30,83,413996093,2025-06-04 12:38:49+08:00,114.2820367,30.55413833,1749011929,175219,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,176355,114.2834864,30.55039292,128.6756986,1.922690985,H00,SAIL_FAST,3,5,15,3,2,55,3230,HAIXUN12338,CHN,WUHAN,5,24,,,,1/3/2022 21:46,20,413840368,2025-06-04 12:48:05+08:00,114.2829867,30.55119667,1749012485,176355,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,216707,114.3037422,30.587855,32,2.663980417,B01,SAIL_SLOW,1,40,10,5,4,70,2116,YUZHOUKOUHUO8808,CHN,YUEYANG,9,30,,,,12/3/2025 13:16,50,413827134,2025-06-04 12:38:42+08:00,114.3037867,30.58792,1749011922,216707,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,283005,114.2981314,30.58296303,5.331282051,1.969320545,H00,SAIL_SLOW,1,20,13,3,4,54,2182,HUAXINGBAOJIE88HAO,CHN,WU HAN,7,0,0,,,3/7/2025 10:42,33,413828862,2025-06-04 12:28:57+08:00,114.2981733,30.58309333,1749011337,283005,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,295869,114.2910983,30.56272833,62.5,0.374556552,B01,SAIL_NORMAL,1,95,15,5,14,70,321,HAINIU11,CHN,JINGJIANG,19,42,,,,6/6/2025 8:23,110,413774857,2025-06-04 12:38:29+08:00,114.2907683,30.56227833,1749011909,295869,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,335412,114.2853378,30.55934275,30.64705882,0.999249685,B01,SAIL_SLOW,1,80,12,8,8,70,2100,JIANG YU JI SHUN,CHN,NANJING,16,36,,,,3/5/2025 18:00,92,413816488,2025-06-04 12:38:53+08:00,114.2852867,30.55926333,1749011933,335412,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,923742,114.303006,30.58042655,59.13793103,1.901300451,B01,SAIL_NORMAL,1,100,36,10,13,70,309,YUHANGYONGSHUN,CHN,YUE YANG,23,45,,,,1/10/2017 20:01,136,413830289,2025-06-04 12:38:51+08:00,114.3030667,30.58051667,1749011931,923742,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,1056242,114.3018331,30.5772722,65.82666667,1.547687302,B01,SAIL_NORMAL,1,60,28,8,8,70,311,HENGYANGYUANJIN1638,CHN,TAIZHOU,16,44,,,,6/7/2025 8:00,88,413864675,2025-06-04 12:38:34+08:00,114.3016,30.57693333,1749011914,1056242,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,2228882,114.2952962,30.56923844,61,0.458456841,H00,SAIL_NORMAL,1,5,63,7,7,70,331,ZHEN HANG JI 989,CHN,YUEYANG,14,18,33,0,0,6/1/2025 14:00,68,413841928,2025-06-04 12:38:26+08:00,114.2949283,30.56872667,1749011906,2228882,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,2329396,114.2930864,30.56182642,76.3,0.452546198,E00,SAIL_NORMAL,1,23,23,5,5,60,2043,JIANGCHENG1HAO,CHN,WUHAN,10,22,,,0,6/3/2025 7:20,46,413841157,2025-06-04 12:38:44+08:00,114.2931417,30.56191167,1749011924,2329396,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,2596442,114.3001152,30.58277968,31.52380952,2.01073185,B01,SAIL_SLOW,2,73,10,7,7,70,2080,WANHUAYUN2019,CHN,LIJIAJIMAODI,14,38,208,,,1/5/2026 23:30,83,413842737,2025-06-04 12:38:57+08:00,114.3000017,30.58267333,1749011937,2596442,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,3117079,114.2812547,30.54795351,66.05263158,2.261647428,B01,SAIL_NORMAL,1,93,16,10,9,70,266,DAMEI09,CHN,JIANGYIN,19,62,,,0,6/8/2025 18:40,109,413847226,2025-06-04 12:38:46+08:00,114.28124,30.54792667,1749011926,3117079,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,3203193,114.2890016,30.55409913,27.36651584,1.348537089,E00,SAIL_SLOW,3,23,23,5,5,60,2648,JIANGCHENG3HAO,CHN,QINGCHUANMATOU,10,20,,,,1/2/2016 9:50,46,413841902,2025-06-04 12:41:21+08:00,114.28876,30.55401667,1749012081,3203193,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,3227928,114.2985428,30.57333111,62.33333333,1.008728116,B01,SAIL_NORMAL,1,110,20,6,10,70,320,QINHE1302,CHN,NANTONG,16,51,,,,6/10/2025 17:55,130,413849328,2025-06-04 12:38:43+08:00,114.2984667,30.573225,1749011923,3227928,83.96662058
2025-06-04 04:38:47+00:00,6,114.292511,30.565878,1.375407937,30.14534685,2025-06-04 12:38:47+08:00,4617896,114.3060711,30.58459133,58,2.448658561,B01,SAIL_NORMAL,1,13,60,7,7,70,307,WAN YING HE JI 19,CHN,BANGBU,14,40,,,,1/6/2015 19:00,73,413864338,2025-06-04 12:38:51+08:00,114.3061333,30.58468333,1749011931,4617896,83.96662058
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,62277,114.3074852,30.58632776,58,2.675026762,B01,SAIL_NORMAL,1,75,11,7,8,70,301,WAN HAI SHUN 9998,CHN,WUHU,15,43,,,,1/10/1931 10:04,86,413830273,2025-06-04 12:38:54+08:00,114.3075,30.58635,1749011934,62277,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,127786,114.2975906,30.57849638,31,1.472860978,B01,SAIL_SLOW,1,100,29,10,11,70,2059,YU XIN HUO 19333,CHN,YUE YANG,21,63,205,,,6/6/2025 8:00,129,413971693,2025-06-04 12:38:54+08:00,114.2975833,30.57848333,1749011934,127786,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,175219,114.2820047,30.55409533,27.2,1.658752168,B01,SAIL_SLOW,2,63,20,7,7,70,2101,LIANSHENG298,CHN,"A1_, !B99",14,17,0,,,11/8/2025 4:30,83,413996093,2025-06-04 12:38:49+08:00,114.2820367,30.55413833,1749011929,175219,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,176355,114.2834811,30.55040157,128.8619814,1.930792665,H00,SAIL_FAST,3,5,15,3,2,55,3230,HAIXUN12338,CHN,WUHAN,5,24,,,,1/3/2022 21:46,20,413840368,2025-06-04 12:48:05+08:00,114.2829867,30.55119667,1749012485,176355,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,216707,114.3036889,30.587777,32,2.645358062,B01,SAIL_SLOW,1,40,10,5,4,70,2116,YUZHOUKOUHUO8808,CHN,YUEYANG,9,30,,,,12/3/2025 13:16,50,413827134,2025-06-04 12:38:42+08:00,114.3037867,30.58792,1749011922,216707,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,283005,114.298131,30.5829617,5.344820513,1.960847578,H00,SAIL_SLOW,1,20,13,3,4,54,2182,HUAXINGBAOJIE88HAO,CHN,WU HAN,7,0,0,,,3/7/2025 10:42,33,413828862,2025-06-04 12:28:57+08:00,114.2981733,30.58309333,1749011337,283005,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,295869,114.2912083,30.56287833,62.33333333,0.363797029,B01,SAIL_NORMAL,1,95,15,5,14,70,340,HAINIU11,CHN,JINGJIANG,19,42,,,,6/6/2025 8:23,110,413774857,2025-06-04 12:39:05+08:00,114.2914283,30.56317833,1749011945,295869,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,335412,114.2852867,30.55926333,31,1.01774777,B01,SAIL_SLOW,1,80,12,8,8,70,2100,JIANG YU JI SHUN,CHN,NANJING,16,36,,,,3/5/2025 18:00,92,413816488,2025-06-04 12:38:53+08:00,114.2852867,30.55926333,1749011933,335412,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,923742,114.3031231,30.58059789,59.03333333,1.914558206,B01,SAIL_NORMAL,1,100,36,10,13,70,301,YUHANGYONGSHUN,CHN,YUE YANG,23,45,,,,1/10/2017 20:01,136,413830289,2025-06-04 12:38:52+08:00,114.3031067,30.58057333,1749011932,923742,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,1056242,114.3019407,30.5774286,65.74666667,1.558984038,B01,SAIL_NORMAL,1,60,28,8,8,70,311,HENGYANGYUANJIN1638,CHN,TAIZHOU,16,44,,,,6/7/2025 8:00,88,413864675,2025-06-04 12:38:34+08:00,114.3016,30.57693333,1749011914,1056242,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,2228882,114.2954013,30.56938467,61,0.468688831,H00,SAIL_NORMAL,1,5,63,7,7,70,331,ZHEN HANG JI 989,CHN,YUEYANG,14,18,33,0,0,6/1/2025 14:00,68,413841928,2025-06-04 12:38:26+08:00,114.2949283,30.56872667,1749011906,2228882,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,2329396,114.2929759,30.56165592,76.9,0.476914689,E00,SAIL_NORMAL,1,23,23,5,5,60,2043,JIANGCHENG1HAO,CHN,WUHAN,10,22,,,0,6/3/2025 7:20,46,413841157,2025-06-04 12:38:44+08:00,114.2931417,30.56191167,1749011924,2329396,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,2596442,114.3000471,30.58271587,31.80952381,1.993218513,B01,SAIL_SLOW,2,73,10,7,7,70,2080,WANHUAYUN2019,CHN,LIJIAJIMAODI,14,38,208,,,1/5/2026 23:30,83,413842737,2025-06-04 12:38:57+08:00,114.3000017,30.58267333,1749011937,2596442,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,3117079,114.2813432,30.54811456,66.36842105,2.250668951,B01,SAIL_NORMAL,1,93,16,10,9,70,266,DAMEI09,CHN,JIANGYIN,19,62,,,0,6/8/2025 18:40,109,413847226,2025-06-04 12:38:46+08:00,114.28124,30.54792667,1749011926,3117079,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,3203193,114.2889922,30.55409591,27.93665158,1.357360387,E00,SAIL_SLOW,3,23,23,5,5,60,2648,JIANGCHENG3HAO,CHN,QINGCHUANMATOU,10,20,,,,1/2/2016 9:50,46,413841902,2025-06-04 12:41:21+08:00,114.28876,30.55401667,1749012081,3203193,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,3227928,114.2986569,30.57349028,62.83333333,1.02064551,B01,SAIL_NORMAL,1,110,20,6,10,70,317,QINHE1302,CHN,NANTONG,16,51,,,,6/10/2025 17:55,130,413849328,2025-06-04 12:38:55+08:00,114.298695,30.57354333,1749011935,3227928,85.05773768
2025-06-04 04:38:53+00:00,6,114.292564,30.565943,1.471856096,35.07201308,2025-06-04 12:38:53+08:00,4617896,114.3061653,30.58472956,57.93333333,2.457636122,B01,SAIL_NORMAL,1,13,60,7,7,70,307,WAN YING HE JI 19,CHN,BANGBU,14,40,,,,1/6/2015 19:00,73,413864338,2025-06-04 12:38:51+08:00,114.3061333,30.58468333,1749011931,4617896,85.05773768
2025-06-04 04:40:46+00:00,6,114.293404,30.567112,1.352699143,31.7453147,2025-06-04 12:40:46+08:00,62277,114.3092317,30.58902844,58,2.865043895,B01,SAIL_NORMAL,1,75,11,7,8,70,302,WAN HAI SHUN 9998,CHN,WUHU,15,43,,,,1/10/1931 10:04,86,413830273,2025-06-04 12:41:00+08:00,114.3094533,30.58935667,1749012060,62277,84.84329848
2025-06-04 04:40:46+00:00,6,114.293404,30.567112,1.352699143,31.7453147,2025-06-04 12:40:46+08:00,127786,114.2967843,30.57693816,32,1.136587352,B01,SAIL_SLOW,1,100,29,10,11,70,2046,YU XIN HUO 19333,CHN,YUE YANG,21,63,204,,0,6/6/2025 8:00,129,413971693,2025-06-04 12:41:11+08:00,114.2966333,30.5766,1749012071,127786,84.84329848
2025-06-04 04:40:46+00:00,6,114.293404,30.567112,1.352699143,31.7453147,2025-06-04 12:40:46+08:00,175219,114.2810521,30.55286791,32.74774775,1.974327806,B01,SAIL_SLOW,2,63,20,7,7,70,2136,LIANSHENG298,CHN,"A1_, !B99",14,17,0,,,11/8/2025 4:30,83,413996093,2025-06-04 12:40:39+08:00,114.2811117,30.55293833,1749012039,175219,84.84329848
2025-06-04 04:40:46+00:00,6,114.293404,30.567112,1.352699143,31.7453147,2025-06-04 12:40:46+08:00,176355,114.2833799,30.55056433,132.3703076,2.071311481,H00,SAIL_FAST,3,5,15,3,2,55,3230,HAIXUN12338,CHN,WUHAN,5,24,,,,1/3/2022 21:46,20,413840368,2025-06-04 12:48:05+08:00,114.2829867,30.55119667,1749012485,176355,84.84329848
2025-06-04 04:40:46+00:00,6,114.293404,30.567112,1.352699143,31.7453147,2025-06-04 12:40:46+08:00,216707,114.3027396,30.58628844,32,2.306849241,B01,SAIL_SLOW,1,40,10,5,4,70,2085,YUZHOUKOUHUO8808,CHN,YUEYANG,9,30,,,,12/3/2025 13:16,50,413827134,2025-06-04 12:40:42+08:00,114.3027733,30.58634,1749012042,216707,84.84329848
2025-06-04 04:40:46+00:00,6,114.293404,30.567112,1.352699143,31.7453147,2025-06-04 12:40:46+08:00,295869,114.293125,30.5656825,61.5,0.160721632,B01,SAIL_NORMAL,1,95,15,5,14,70,294,HAINIU11,CHN,JINGJIANG,19,42,,,,6/6/2025 8:23,110,413774857,2025-06-04 12:40:39+08:00,114.2930117,30.56551333,1749012039,295869,84.84329848
2025-06-04 04:40:46+00:00,6,114.293404,30.567112,1.352699143,31.7453147,2025-06-04 12:40:46+08:00,335412,114.2843651,30.55784596,30,1.344332428,B01,SAIL_SLOW,1,80,12,8,8,70,2113,YUXINGANGJINLONG,CHN,NANJING,16,36,,,0,3/5/2025 18:00,92,413816488,2025-06-04 12:40:37+08:00,114.2844567,30.55796833,1749012037,335412,84.84329848
2025-06-04 04:40:46+00:00,6,114.293404,30.567112,1.352699143,31.7453147,2025-06-04 12:40:46+08:00,923742,114.3049867,30.58331867,60,2.112492525,B01,SAIL_NORMAL,1,100,36,10,13,70,324,YUHANGYONGSHUN,CHN,YUE YANG,23,45,,,,1/10/2017 20:01,136,413830289,2025-06-04 12:40:52+08:00,114.3050933,30.58346333,1749012052,923742,84.84329848
2025-06-04 04:40:46+00:00,6,114.293404,30.567112,1.352699143,31.7453147,2025-06-04 12:40:46+08:00,1056242,114.3039672,30.58037413,64.24,1.785622368,B01,SAIL_NORMAL,1,60,28,8,8,70,304,HENGYANGYUANJIN1638,CHN,TAIZHOU,16,44,,,0,6/7/2025 8:00,88,413864675,2025-06-04 12:41:04+08:00,114.30429,30.58084333,1749012064,1056242,84.84329848
2025-06-04 04:40:46+00:00,6,114.293404,30.567112,1.352699143,31.7453147,2025-06-04 12:40:46+08:00,2228882,114.2973308,30.57208644,60.73333333,0.667853639,H00,SAIL_NORMAL,1,5,63,7,7,70,315,ZHEN HANG JI 989,CHN,YUEYANG,14,18,31,0,0,6/1/2025 14:00,68,413841928,2025-06-04 12:40:38+08:00,114.2971983,30.57190333,1749012038,2228882,84.84329848
2025-06-04 04:40:46+00:00,6,114.293404,30.567112,1.352699143,31.7453147,2025-06-04 12:40:46+08:00,2329396,114.2909032,30.55836591,63,0.998849763,E00,SAIL_NORMAL,1,23,23,5,5,60,2081,JIANGCHENG1HAO,CHN,WUHAN,10,22,,,,6/3/2025 7:20,46,413841157,2025-06-04 12:40:32+08:00,114.29112,30.55871667,1749012032,2329396,84.84329848
2025-06-04 04:40:46+00:00,6,114.293404,30.567112,1.352699143,31.7453147,2025-06-04 12:40:46+08:00,2596442,114.2991479,30.58124694,32.23333333,1.661077705,B01,SAIL_SLOW,2,73,10,7,7,70,2112,WANHUAYUN 2019,CHN,LIJIAJIMAODI,14,38,211,,,1/5/2026 23:30,83,413842737,2025-06-04 12:40:39+08:00,114.2992183,30.58133833,1749012039,2596442,84.84329848
2025-06-04 04:40:46+00:00,6,114.293404,30.567112,1.352699143,31.7453147,2025-06-04 12:40:46+08:00,3117079,114.2831387,30.551388,69,2.00216801,B01,SAIL_NORMAL,1,93,16,10,9,70,274,DA MEI 09,CHN,JIANGYIN,19,62,,,,6/8/2025 18:40,109,413847226,2025-06-04 12:40:34+08:00,114.28292,30.55104,1749012034,3117079,84.84329848
2025-06-04 04:40:46+00:00,6,114.293404,30.567112,1.352699143,31.7453147,2025-06-04 12:40:46+08:00,3203193,114.2888149,30.55403541,38.67420814,1.515078283,E00,SAIL_SLOW,3,23,23,5,5,60,2648,JIANGCHENG3HAO,CHN,QINGCHUANMATOU,10,20,,,,1/2/2016 9:50,46,413841902,2025-06-04 12:41:21+08:00,114.28876,30.55401667,1749012081,3203193,84.84329848
2025-06-04 04:40:46+00:00,6,114.293404,30.567112,1.352699143,31.7453147,2025-06-04 12:40:46+08:00,3227928,114.3005954,30.57628292,62,1.228658886,B01,SAIL_NORMAL,1,110,20,6,10,70,301,QINHE1302,CHN,NANTONG,16,51,,,,6/10/2025 17:55,130,413849328,2025-06-04 12:40:43+08:00,114.30054,30.57620167,1749012043,3227928,84.84329848
